Time,Attention,Emotion,Confidence,Blinks,Yawns,Head
15:53:46,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:47,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:51,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:52,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:53:56,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:53:58,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:02,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:03,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:08,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:08,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:14,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:14,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:19,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:20,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:25,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:25,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:30,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:30,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:36,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:36,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:41,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:41,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:46,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:46,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:51,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:54:52,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:56,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
15:54:56,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:55:01,80,happy,29.0,Left,Eyes Open,Mouth Closed
15:55:01,100,neutral,69.0,Forward,Eyes Open,Mouth Closed
